"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\app-routing.module.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\app.module.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.html", "HTML", 0, -1, 0, 0, 0, -1
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.ts", "TypeScript", 1, 0, 0, 0, 2, 3
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\consultar-propiedades\filtro-propiedades.pipe.spec.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\consultar-propiedades\filtro-propiedades.pipe.ts", "TypeScript", 15, 0, 0, 0, 4, 19
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\data.service.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\deudas\deudas.component.html", "HTML", 0, -1, 0, 1, 0, 0
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\historial-deudas\comprobante.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\historial-deudas\comprobante.service.ts", "TypeScript", 18, 0, 0, 0, 7, 25
